state,Q_action_0,Q_action_1,best_action
0,9.297473200814276,6.301563171393586,Q_action_0
1,9.101448595633485,6.104919375514659,Q_action_0
2,0.0015601864044243652,0.0015599452033620265,Q_action_0
3,0.0005808361216819946,0.008661761457749353,Q_action_1
4,0.006011150117432088,0.007080725777960455,Q_action_1
5,7.954064941387165,7.5180739405599635,Q_action_0
6,0.008324426408004218,0.0021233911067827615,Q_action_0
7,0.0018182496720710061,0.001834045098534338,Q_action_1
8,0.0030424224295953774,0.005247564316322379,Q_action_1
9,0.004319450186421158,0.002912291401980419,Q_action_0
10,7.111093220363951,7.619353800404844,Q_action_1
11,0.0029214464853521815,0.003663618432936917,Q_action_1
12,0.004560699842170359,0.007851759613930136,Q_action_1
13,0.0019967378215835973,0.005142344384136116,Q_action_1
14,0.005924145688620425,0.00046450412719997725,Q_action_0
15,6.680215693467429,7.10994435187108,Q_action_1
16,0.0006505159298527952,0.009488855372533333,Q_action_1
17,0.009656320330745594,0.008083973481164611,Q_action_0
18,0.0030461376917337067,0.0009767211400638386,Q_action_0
19,0.006842330265121569,0.004401524937396013,Q_action_0
20,6.261221428860174,6.702543809370132,Q_action_1
21,5.687050021092791,6.680701211329857,Q_action_1
22,5.06563435868842,7.050356884579203,Q_action_1
23,0.0031171107608941096,0.005200680211778108,Q_action_1
24,0.005467102793432797,0.0018485445552552705,Q_action_0
25,0.009695846277645586,0.007751328233611146,Q_action_0
26,9.000401556046187,6.0042751886959485,Q_action_0
27,8.998142311247268,6.006769400858497,Q_action_0
28,0.000884925020519195,0.001959828624191452,Q_action_1
29,0.00045227288910538066,0.0032533033076326437,Q_action_1
30,0.0038867728968948203,0.002713490317738959,Q_action_0
31,0.008287375091519293,0.003567533266935893,Q_action_0
32,0.0028093450968738076,0.005426960831582485,Q_action_1
33,0.0014092422497476264,0.008021969807540396,Q_action_1
34,0.0007455064367977082,0.009868869366005173,Q_action_1
35,0.007722447692966574,0.001987156815341724,Q_action_0
36,5.5221171236023996e-05,0.008154614284548342,Q_action_1
37,0.007068573438476171,0.007290071680409873,Q_action_1
38,0.007712703466859458,0.0007404465173409036,Q_action_0
39,0.003584657285442726,0.0011586905952512972,Q_action_0
40,0.008631034258755936,0.006232981268275579,Q_action_0
41,0.003308980248526492,0.0006355835028602363,Q_action_0
42,0.003109823217156622,0.0032518332202674705,Q_action_1
43,0.007296061783380641,0.006375574713552132,Q_action_0
44,0.008872127425763265,0.004722149251619493,Q_action_0
45,0.001195942459383017,0.00713244787222995,Q_action_1
46,0.007607850486168974,0.005612771975694962,Q_action_0
47,5.248520977033845,7.217295397507631,Q_action_1
48,5.313208999723441,7.238788288437243,Q_action_1
49,0.0002541912674409519,0.0010789142699330445,Q_action_1
50,0.0003142918568673425,0.006364104112637804,Q_action_1
51,0.0031435598107632666,0.005085706911647028,Q_action_1
52,8.882625674808827,5.8919988906569465,Q_action_0
53,8.88568308863597,5.895718601515668,Q_action_0
54,0.0022879816549162247,0.0007697990982879299,Q_action_0
55,0.00289751452913768,0.0016122128725400441,Q_action_0
56,0.00929697652342573,0.008081203795644169,Q_action_0
57,0.006334037565104235,0.008714605901877177,Q_action_1
58,0.008036720768991144,0.0018657005888603583,Q_action_0
59,0.008925589984899777,0.005393422419156507,Q_action_0
60,0.008074401551640626,0.008960912999234932,Q_action_1
61,0.0031800347497186387,0.0011005192452767675,Q_action_0
62,0.002279351625419417,0.004271077886262563,Q_action_1
63,0.008180147659224932,0.008607305832563434,Q_action_1
64,6.952130531190704e-05,0.005107473025775657,Q_action_1
65,0.00417411003148779,0.0022210781047073028,Q_action_0
66,0.001198653673336828,0.0033761517140362797,Q_action_1
67,0.009429097039125192,0.0032320293202075523,Q_action_0
68,0.005187906217433661,0.007030189588951779,Q_action_1
69,0.00363629602379294,0.009717820827209607,Q_action_1
70,0.009624472949421113,0.0025178229582536417,Q_action_0
71,0.004972485058923855,0.0030087830981676967,Q_action_0
72,0.002848404943774676,0.00036886947354532797,Q_action_0
73,5.5300798700574365,7.494490152646217,Q_action_1
74,5.509461128000776,7.505169445953455,Q_action_1
75,0.009082658859666538,0.002395618906669724,Q_action_0
76,0.001448948720912231,0.00489452760277563,Q_action_1
77,0.009856504541106008,0.0024205527151150044,Q_action_0
78,8.752456148839896,5.77239514231347,Q_action_0
79,0.0023763754399239966,0.007282163486118596,Q_action_1
80,0.0036778313271925325,0.006323058305935795,Q_action_1
81,0.006335297107608947,0.005357746840747585,Q_action_0
82,0.0009028977005440831,0.00835302495589238,Q_action_1
83,0.0032078006497173583,0.0018651851039985423,Q_action_0
84,0.0004077514155476392,0.005908929431882418,Q_action_1
85,0.006775643618422825,0.00016587828927856153,Q_action_0
86,0.0051209305829928095,0.0022649577519793795,Q_action_0
87,0.006451727904094499,0.0017436642900499144,Q_action_0
88,0.006909377381024659,0.003867353463005374,Q_action_0
89,0.009367299887367345,0.0013752094414599325,Q_action_0
90,0.003410663510502585,0.0011347352124058908,Q_action_0
91,0.009246936182785628,0.00877339353380981,Q_action_0
92,0.0025794162771515562,0.006599840460341791,Q_action_1
93,0.008172222002012158,0.005552008115994623,Q_action_0
94,0.005296505783560065,0.002418522909004517,Q_action_0
95,0.0009310276780589922,0.008972157579533268,Q_action_1
96,0.009004180571633305,0.006331014572732679,Q_action_0
97,0.003390297910487007,0.003492095746126609,Q_action_1
98,0.007259556788702394,0.008971102599525771,Q_action_1
99,7.744438108425404,5.765058447524489,Q_action_0
100,0.006420316461542877,0.0008413996499504883,Q_action_0
101,0.0016162871409461377,0.008985541885270792,Q_action_1
102,0.006064290596595899,9.197051616629647e-05,Q_action_0
103,0.001014715428660321,0.006635017691080558,Q_action_1
104,5.061583846218687e-05,0.0016080805141749867,Q_action_1
105,0.005487337893665861,0.006918951976926933,Q_action_1
106,0.006519612595026005,0.0022426930946055977,Q_action_0
107,0.007121792213475359,0.002372490874968001,Q_action_0
108,0.0032539969815926773,0.007464914051180242,Q_action_1
109,8.606581809191043,6.468993141937751,Q_action_0
110,0.006576128923003434,0.005683086033354716,Q_action_0
111,0.0009367476782809247,0.0036771580305943355,Q_action_1
112,0.0026520236768172545,0.0024398964337908357,Q_action_0
113,0.009730105547524456,0.003930977246667604,Q_action_0
114,8.313610992294423,6.34459638339441,Q_action_0
115,0.007948113035416484,0.005026370931051921,Q_action_0
116,0.005769038846263591,0.0049251769381886395,Q_action_0
117,0.001952429877980445,0.007224521152615054,Q_action_1
118,0.002807723624408558,0.0002431596643145384,Q_action_0
119,8.111299801986759,6.164817634465479,Q_action_0
120,0.009404585843529142,0.009539285770025874,Q_action_1
121,0.009148643902204486,0.003701587002554444,Q_action_0
122,0.0001545661652886743,0.009283185625877254,Q_action_1
123,0.004281841483173144,0.009666548190436696,Q_action_1
124,0.009636199770892528,0.0085300945546736,Q_action_0
